Name	Type	Width	Decimal	NULL																																																																																																																																																																																																																																																								
opm_y4	Numeric	6	1	TRUE	"opm_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
opm_y5	Numeric	6	1	TRUE	"opm_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
opm_y6	Numeric	6	1	TRUE	"opm_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
opm_y7	Numeric	6	1	TRUE	"opm_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
tie_12m	Numeric	6	1	TRUE	"tie_12m decimal(6,1) null"																																																																																																																																																																																																																																																							
tie_y1	Numeric	6	1	TRUE	"tie_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
tie_y2	Numeric	6	1	TRUE	"tie_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
tie_y3	Numeric	6	1	TRUE	"tie_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
tie_y4	Numeric	6	1	TRUE	"tie_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
tie_y5	Numeric	6	1	TRUE	"tie_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
tie_y6	Numeric	6	1	TRUE	"tie_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
tie_y7	Numeric	6	1	TRUE	"tie_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
arturn_12m	Numeric	6	1	TRUE	"arturn_12m decimal(6,1) null"																																																																																																																																																																																																																																																							
arturn_y1	Numeric	6	1	TRUE	"arturn_y1 decimal(6,1) null"																																																																																																																																																																																																																																																							
arturn_y2	Numeric	6	1	TRUE	"arturn_y2 decimal(6,1) null"																																																																																																																																																																																																																																																							
arturn_y3	Numeric	6	1	TRUE	"arturn_y3 decimal(6,1) null"																																																																																																																																																																																																																																																							
arturn_y4	Numeric	6	1	TRUE	"arturn_y4 decimal(6,1) null"																																																																																																																																																																																																																																																							
arturn_y5	Numeric	6	1	TRUE	"arturn_y5 decimal(6,1) null"																																																																																																																																																																																																																																																							
arturn_y6	Numeric	6	1	TRUE	"arturn_y6 decimal(6,1) null"																																																																																																																																																																																																																																																							
arturn_y7	Numeric	6	1	TRUE	"arturn_y7 decimal(6,1) null"																																																																																																																																																																																																																																																							
epsdc_g1f	Numeric	6	1	TRUE	"epsdc_g1f decimal(6,1) null"																																																																																																																																																																																																																																																							
